REGION_NAME,STATE/REGION,NAICS,NAICS_LDESC,LEVEL,YEAR,GDP,EST_POP
Alaska,AK,482,Rail transportation,3,2010,0.0,713982
Alaska,AK,483,Water transportation,3,2010,252400000.0,713982
Alaska,AK,484,Truck transportation,3,2010,300100000.0,713982
Alaska,AK,485,Transit and ground passenger transportation,3,2010,124700000.0,713982
Alaska,AK,486,Pipeline transportation,3,2010,3366700000.0,713982
Alaska,AK,"487-488,492",Other transportation and support activities,3,2010,745500000.0,713982
Alaska,AK,493,Warehousing and storage,3,2010,38300000.0,713982
Alaska,AK,51,Information,2,2010,1078900000.0,713982
Alaska,AK,511,Publishing industries (except Internet),3,2010,91900000.0,713982
Alaska,AK,512,Motion picture and sound recording industries,3,2010,22400000.0,713982
Alaska,AK,515-517,Broadcasting (except Internet) and telecommunications,3,2010,885200000.0,713982
Alaska,AK,518-519,"Data processing, hosting, and other information services",3,2010,79300000.0,713982
Alaska,AK,"52,53","Finance, insurance, real estate, rental, and leasing",0,2010,5968900000.0,713982
Alaska,AK,52,Finance and insurance,2,2010,1109800000.0,713982
Alaska,AK,521-522,"Monetary Authorities- central bank, credit intermediation, and related services",3,2010,734100000.0,713982
Alaska,AK,523,"Securities, commodity contracts, and other financial investments and related activities",3,2010,63700000.0,713982
Alaska,AK,524,Insurance carriers and related activities,3,2010,304800000.0,713982
Alaska,AK,525,"Funds, trusts, and other financial vehicles",3,2010,7200000.0,713982
Alaska,AK,53,Real estate and rental and leasing,2,2010,4859100000.0,713982
Alaska,AK,531,Real estate,3,2010,4312500000.0,713982
Alaska,AK,532-533,Rental and leasing services and lessors of nonfinancial intangible assets,3,2010,546600000.0,713982
Alaska,AK,"54,55,56",Professional and business services,0,2010,3269900000.0,713982
Alaska,AK,54,"Professional, scientific, and technical services",2,2010,1914200000.0,713982
Alaska,AK,5411,Legal services,4,2010,184200000.0,713982
Alaska,AK,5415,Computer systems design and related services,4,2010,165300000.0,713982
Alaska,AK,"5412-5414,5416-5419","Miscellaneous professional, scientific, and technical services",4,2010,1564700000.0,713982
Alaska,AK,55,Management of companies and enterprises,2,2010,327700000.0,713982
Alaska,AK,56,Administrative and support and waste management and remediation services,2,2010,1028099999.9999999,713982
Alaska,AK,561,Administrative and support services,3,2010,772900000.0,713982
Alaska,AK,562,Waste management and remediation services,3,2010,255200000.0,713982
Alaska,AK,"61,62","Educational services, health care, and social assistance",0,2010,3057100000.0,713982
