YEAR,STATE/REGION,GDP_EXP_SUM,REGION_NAME,NAICS,NAICS_LDESC,LEVEL,GDP,EST_POP_x,EST_POP_y
2013,KS,12459173965,Kansas,..0,All industry total,1,144999300000.0,2894306,2894306
2013,KY,25411715048,Kentucky,..0,All industry total,1,184920600000.0,4406906,4406906
2013,LA,63247023570,Louisiana,..0,All industry total,1,231652700000.0,4626040,4626040
2013,MA,26812015718,Massachusetts,..0,All industry total,1,452580400000.0,6715158,6715158
2013,MD,11746717983,Maryland,..0,All industry total,1,339895800000.0,5925197,5925197
2013,ME,2686755180,Maine,..0,All industry total,1,54924800000.0,1328543,1328543
2013,MI,59399808175,Michigan,..0,All industry total,1,441470800000.0,9914802,9914802
2013,MN,20760138727,Minnesota,..0,All industry total,1,311752100000.0,5414722,5414722
2013,MO,12958224737,Missouri,..0,All industry total,1,282659700000.0,6042989,6042989
2013,MS,12415151592,Mississippi,..0,All industry total,1,103042600000.0,2989839,2989839
2013,MT,1505796258,Montana,..0,All industry total,1,43584000000.0,1014158,1014158
2013,NC,29347122545,North Carolina,..0,All industry total,1,460946400000.0,9846717,9846717
2013,ND,4401699407,North Dakota,..0,All industry total,1,54877000000.0,723149,723149
2013,NE,7392988737,Nebraska,..0,All industry total,1,107247000000.0,1865813,1865813
2013,NH,3511047837,New Hampshire,..0,All industry total,1,70897400000.0,1327272,1327272
2013,NJ,36611873709,New Jersey,..0,All industry total,1,534212100000.0,8857821,8857821
2013,NM,2726138754,New Mexico,..0,All industry total,1,88773300000.0,2092833,2092833
2013,NV,8701076294,Nevada,..0,All industry total,1,133592500000.0,2776956,2776956
2013,NY,86407154917,New York,..0,All industry total,1,1364632900000.0,19626488,19626488
2013,OH,51048198341,Ohio,..0,All industry total,1,566419900000.0,11579692,11579692
2013,OK,6919746438,Oklahoma,..0,All industry total,1,184104600000.0,3853891,3853891
2013,OR,18633579686,Oregon,..0,All industry total,1,178975400000.0,3924110,3924110
2013,PA,41180765931,Pennsylvania,..0,All industry total,1,670767400000.0,12779538,12779538
2013,RI,2164107517,Rhode Island,..0,All industry total,1,52994200000.0,1055560,1055560
