STATE/REGION,EXPORT_VAL,EXP_NAICS,EXP_NAICS_DESC,YEAR,EXP_LEVEL,GDP_CODE
AR,9709146,3314,NONFERROUS METAL (EXCEPT ALUMINUM) AND PROCESSING,2013,4,331
AR,96944788,3339,OTHER GENERAL PURPOSE MACHINERY,2013,4,333
AR,12618649,3365,RAILROAD ROLLING STOCK,2013,4,NA
AR,9171730,3366,SHIPS AND BOATS,2013,4,NA
AR,561657,3161,LEATHER AND HIDE TANNING,2013,4,315-316
AR,2698026,3162,FOOTWEAR,2013,4,315-316
AR,4575538,3254,PHARMACEUTICALS AND MEDICINES,2013,4,325
AR,16175325,3315,FOUNDRIES,2013,4,331
AR,179123345,334,COMPUTER AND ELECTRONIC PRODUCTS,2013,3,334
AR,31274029,3369,"TRANSPORTATION EQUIPMENT, NESOI",2013,4,"3364-3466,3369"
AR,622269,3169,OTHER LEATHER PRODUCTS,2013,4,315-316
AR,18620983,3255,"PAINTS, COATINGS, AND ADHESIVES",2013,4,325
AR,298230780,332,"FABRICATED METAL PRODUCTS, NESOI",2013,3,332
AR,4957148,3341,COMPUTER EQUIPMENT,2013,4,334
AR,28623066,337,FURNITURE AND FIXTURES,2013,3,337
AR,46214,3117,"SEAFOOD PRODUCTS PREPARED, CANNED AND PACKAGED",2013,4,311-312
AR,7126607,3118,BAKERY AND TORTILLA PRODUCTS,2013,4,311-312
AR,1518485044,32,"MANUFACTURING, PART 2",2013,2,31-33
AR,135851619,3256,"SOAPS, CLEANING COMPOUNDS, AND TOILET PREPARATIONS",2013,4,325
AR,642366,3321,"CROWNS, CLOSURES, SEALS AND OTHER PACKING ACCESSORIES",2013,4,332
AR,5515797,3342,COMMUNICATIONS EQUIPMENT,2013,4,334
AR,8493116,3343,AUDIO AND VIDEO EQUIPMENT,2013,4,334
AR,19160106,3371,HOUSEHOLD AND INSTITUTIONAL FURNITURE AND KITCHEN CABINETS,2013,4,337
AR,21172209,3119,"FOODS, NESOI",2013,4,311-312
AR,14464251,321,WOOD PRODUCTS,2013,3,321
AR,7264656,3259,OTHER CHEMICAL PRODUCTS AND PREPARATIONS,2013,4,325
AR,270667907,326,PLASTICS AND RUBBER PRODUCTS,2013,3,326
AR,13487887,3322,CUTLERY AND HANDTOOLS,2013,4,332
AR,105696057,3344,SEMICONDUCTORS AND OTHER ELECTRONIC COMPONENTS,2013,4,334
AR,9085420,3372,OFFICE FURNITURE (INCLUDING FIXTURES),2013,4,337
AR,64487199,312,BEVERAGES AND TOBACCO PRODUCTS,2013,3,311-312
AR,5831354,3211,SAWMILL AND WOOD PRODUCTS,2013,4,321
AR,191125795,3261,PLASTICS PRODUCTS,2013,4,326
AR,16493017,3323,ARCHITECTURAL AND STRUCTURAL METALS,2013,4,332
AR,2807447,3324,"BOILERS, TANKS, AND SHIPPING CONTAINERS",2013,4,332
AR,54303561,3345,"NAVIGATIONAL, MEASURING, ELECTROMEDICAL, AND CONTROL INSTRUMENTS",2013,4,334
AR,377540,3379,"FURNITURE RELATED PRODUCTS, NESOI",2013,4,337
AR,35625452,339,MISCELLANEOUS MANUFACTURED COMMODITIES,2013,3,339
AR,64487199,3121,BEVERAGES,2013,4,311-312
AR,4044678,3212,"VENEER, PLYWOOD, AND ENGINEERED WOOD PRODUCTS",2013,4,321
AR,4588219,3219,OTHER WOOD PRODUCTS,2013,4,321
AR,79542112,3262,RUBBER PRODUCTS,2013,4,326
AR,2700390,3325,HARDWARE,2013,4,332
AR,157666,3346,MAGNETIC AND OPTICAL MEDIA,2013,4,334
