YEAR,STATE/REGION,GDP_IMP_SUM,REGION_NAME,NAICS,NAICS_LDESC,LEVEL,GDP,EST_POP_x,EST_POP_y
2014,VT,4764554841,Vermont,..0,All industry total,1,30359400000.0,625693,625693
2014,WA,52522329558,Washington,..0,All industry total,1,439851200000.0,7057531,7057531
2014,WI,23563073258,Wisconsin,..0,All industry total,1,296169900000.0,5753199,5753199
2014,WV,3812450995,West Virginia,..0,All industry total,1,73042600000.0,1850569,1850569
2014,WY,1900720892,Wyoming,..0,All industry total,1,40573900000.0,583159,583159
2015,AK,2493656645,Alaska,..0,All industry total,1,51574200000.0,738430,738430
2015,AL,21900489532,Alabama,..0,All industry total,1,203113300000.0,4854803,4854803
2015,AR,7911658377,Arkansas,..0,All industry total,1,118573600000.0,2979732,2979732
2015,AZ,19751716546,Arizona,..0,All industry total,1,298942200000.0,6832810,6832810
2015,CA,408337164437,California,..0,All industry total,1,2487156400000.0,38904296,38904296
2015,CO,13507249242,Colorado,..0,All industry total,1,320895900000.0,5454328,5454328
2015,CT,25977890296,Connecticut,..0,All industry total,1,260648500000.0,3588561,3588561
2015,DE,9246099422,Delaware,..0,All industry total,1,72352500000.0,942065,942065
2015,FL,73483480443,Florida,..0,All industry total,1,918464300000.0,20219111,20219111
2015,GA,88697401305,Georgia,..0,All industry total,1,525516800000.00006,10183353,10183353
2015,HI,3755805076,Hawaii,..0,All industry total,1,81410200000.0,1422999,1422999
2015,IA,9363060994,Iowa,..0,All industry total,1,181471700000.0,3122541,3122541
2015,ID,5165634568,Idaho,..0,All industry total,1,66064899999.99999,1652495,1652495
2015,IL,121308287715,Illinois,..0,All industry total,1,802592000000.0,12859585,12859585
2015,IN,49110942472,Indiana,..0,All industry total,1,333163800000.0,6611442,6611442
2015,KS,11773557989,Kansas,..0,All industry total,1,155699000000.0,2910717,2910717
2015,KY,38661439523,Kentucky,..0,All industry total,1,194621200000.0,4429126,4429126
2015,LA,35250128094,Louisiana,..0,All industry total,1,234324200000.0,4666998,4666998
2015,MA,33660856613,Massachusetts,..0,All industry total,1,497767000000.0,6797484,6797484
2015,MD,31517978590,Maryland,..0,All industry total,1,367314100000.0,5988528,5988528
2015,ME,3686602104,Maine,..0,All industry total,1,58755800000.0,1329098,1329098
2015,MI,124225338840,Michigan,..0,All industry total,1,479222700000.0,9934483,9934483
2015,MN,28588020770,Minnesota,..0,All industry total,1,336762000000.0,5484002,5484002
2015,MO,18517842109,Missouri,..0,All industry total,1,299597700000.0,6075411,6075411
2015,MS,14078385064,Mississippi,..0,All industry total,1,106623900000.0,2990231,2990231
2015,MT,4062680413,Montana,..0,All industry total,1,46542400000.0,1031495,1031495
2015,NC,51329831218,North Carolina,..0,All industry total,1,508672400000.0,10037218,10037218
2015,ND,3137357801,North Dakota,..0,All industry total,1,56952200000.0,755537,755537
2015,NE,4135860817,Nebraska,..0,All industry total,1,117402300000.0,1892059,1892059
2015,NH,9313837505,New Hampshire,..0,All industry total,1,77385800000.0,1337480,1337480
2015,NJ,119560423144,New Jersey,..0,All industry total,1,565807700000.0,8870312,8870312
2015,NM,2248571083,New Mexico,..0,All industry total,1,90779400000.0,2090071,2090071
2015,NV,9596277799,Nevada,..0,All industry total,1,145786800000.0,2868531,2868531
2015,NY,133199042671,New York,..0,All industry total,1,1498474700000.0,19657321,19657321
2015,OH,68961326651,Ohio,..0,All industry total,1,615275500000.0,11622315,11622315
2015,OK,11015367256,Oklahoma,..0,All industry total,1,187364700000.0,3910518,3910518
2015,OR,14821740812,Oregon,..0,All industry total,1,200592600000.0,4018542,4018542
2015,PA,79803808615,Pennsylvania,..0,All industry total,1,716534300000.0,12789838,12789838
2015,RI,8237272952,Rhode Island,..0,All industry total,1,56604000000.0,1056886,1056886
2015,SC,39044274008,South Carolina,..0,All industry total,1,207510000000.0,4896006,4896006
2015,SD,1140565173,South Dakota,..0,All industry total,1,48678900000.0,854663,854663
2015,TN,76983877931,Tennessee,..0,All industry total,1,326382500000.0,6595354,6595354
2015,TX,252183481971,Texas,..0,All industry total,1,1585985900000.0,27468531,27468531
2015,UT,12101894704,Utah,..0,All industry total,1,149762100000.0,2983626,2983626
2015,VA,25070532636,Virginia,..0,All industry total,1,485540900000.0,8367303,8367303
2015,VT,4062934137,Vermont,..0,All industry total,1,31152400000.0,625810,625810
2015,WA,51135449575,Washington,..0,All industry total,1,467590600000.0,7167287,7167287
2015,WI,23049391045,Wisconsin,..0,All industry total,1,308304500000.0,5762927,5762927
2015,WV,3781672516,West Virginia,..0,All industry total,1,71713400000.0,1843332,1843332
2015,WY,1144855922,Wyoming,..0,All industry total,1,38624800000.0,586389,586389
2016,AK,2091014552,Alaska,..0,All industry total,1,51121800000.0,742575,742575
2016,AL,22124857059,Alabama,..0,All industry total,1,208824300000.0,4866824,4866824
2016,AR,7828176571,Arkansas,..0,All industry total,1,120987400000.0,2991815,2991815
2016,AZ,19646593570,Arizona,..0,All industry total,1,313787100000.0,6944767,6944767
2016,CA,410062132408,California,..0,All industry total,1,2586485200000.0,39149186,39149186
2016,CO,12222563767,Colorado,..0,All industry total,1,330565900000.0,5543844,5543844
2016,CT,21342109248,Connecticut,..0,All industry total,1,264760400000.00003,3579830,3579830
2016,DE,7555131957,Delaware,..0,All industry total,1,70021500000.0,949989,949989
2016,FL,73617909102,Florida,..0,All industry total,1,964500800000.0,20627237,20627237
2016,GA,86181521141,Georgia,..0,All industry total,1,554903200000.0,10308442,10308442
2016,HI,2927311438,Hawaii,..0,All industry total,1,84287200000.0,1428885,1428885
2016,IA,8225633053,Iowa,..0,All industry total,1,183834800000.0,3133210,3133210
2016,ID,4493477295,Idaho,..0,All industry total,1,69185200000.0,1684036,1684036
2016,IL,121458698407,Illinois,..0,All industry total,1,813561600000.0,12821709,12821709
2016,IN,49509582233,Indiana,..0,All industry total,1,342716600000.0,6637898,6637898
